pair,adf_pvalue,zero_cross_rate_week,z_skew,z_kurtosis
KX1SONGBADBUNNY-DEC2725__KXKXRANKLISTPITCHFORKALBUM-26OCT,,0.0,1.0906598135374785,5.226148409893989
KXGOVSHUTLENGTH-26JAN01__KXGRAMMYNOMBRA-68,0.25905319908304325,0.0,-0.301589057926328,2.7482550831557737
KXETHATH-25DEC31__KXMUSKTAGDJT-25OCT,0.11715041948707161,0.0,-0.3586619118728666,3.1816141286609865
KXCOACHOUTUNC-1__KXMEASLES-2531,0.49948815705485416,0.0,1.4676746681140231,5.313201952001986
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXEARNINGSMENTIONEA-25OCT28,0.22932332385409088,0.0,-0.5633469914097539,3.7228985547717017
KX1SONGBADBUNNY-DEC2725__KXEARNINGSMENTIONHIMS-25NOV03,,0.0,-0.5571252641812074,2.2832121645949006
KX1SONGBADBUNNY-DEC2725__KXCLOSEST2025-26NOV04,,0.0,0.7623504816463708,3.5312921494224843
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXGOVCA-26,0.9874090680233413,0.0,0.25294705104690535,2.4966078666712566
KXCOACHOUTUNC-1__KXMCCODBLOPS7,1.0,0.0,0.7044352193712698,3.3780567029291246
KXKXRANKLISTPITCHFORKALBUM-26OCT__KXMCCODBLOPS7,,0.0,-0.13033969966467365,2.5743126587426417
KXGOVSHUTLENGTH-26JAN01__KXMCCODBLOPS7,0.00016582614520280127,0.0,-0.8003603486491743,3.08460440284427
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXEPSTEIN-26,0.2265086984565603,0.0,-0.08714097320028524,2.2215624016639035
KX1SONGBADBUNNY-DEC2725__KXCBVOLUME-Q3-25,,0.0,,
KXFDVRAINBOW-25DEC31__KXJONESDROPOUT-25NOV04,,0.0,-0.05836550828681359,1.7659592241000315
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXEPLRELEGATION-26,0.7528705043473704,0.0,-0.27586326965244556,1.401993524430472
KXLEAVEBIER-26JAN01__KXMEASLES-2531,,0.0,-0.5053275238195313,3.0718442603444767
KXMCCODBLOPS7__KXMEASLES-2531,0.08900326647566448,0.0,-0.14246795571454887,2.541568988741547
KXCOACHOUTUNC-1__KXFBUSTER-26JAN01,0.002280001007278516,0.0,1.4956231886033755,5.2482301394827
KXDEMVASWEEP-25NOV04__KXGOVSHUTLENGTH-26JAN01,0.19568219039663964,0.0,0.7738228709748847,2.7292217900591025
KX2028DRUN-28__KXMCCODBLOPS7,,0.0,-0.09444098117656509,1.7547547234514356
KXGRAMMYNOMBRA-68__KXMCCODBLOPS7,0.3295383565331878,0.0,1.9188395088453793,7.7325426189821584
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXKXRANKLISTPITCHFORKALBUM-26OCT,,0.0,-0.5341977400237702,1.8401335823191773
KXCOACHOUTUNC-1__KXMTGSWITCH-27JAN,,0.0,-0.34051590811718124,4.250884001758485
KXEPSTEIN-26__KXLEAVEBIER-26JAN01,,0.0,-1.0252018795916424,3.9798861158859213
KXCBDECISIONCANADA-25OCT__KXJONESDROPOUT-25NOV04,2.9372413673950746e-06,0.0,0.22459634975198664,1.700883384511285
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXMAMDANINYC-25NOV04,0.13783099941290433,0.0,-0.2631669127912269,2.1141714555877424
KXCOMMENTTRUMPBADBUNNY-26JAN01__KXETHATH-25DEC31,0.09918587359063663,0.0,0.07734068311092204,3.222054058607389
KXMAMDANINYC-25NOV04__KXMTGSWITCH-27JAN,,0.0,-0.07584266801349204,3.0581317203494858
KX1SONGBADBUNNY-DEC2725__KX2028DRUN-28,,0.0,-0.27166619090835226,2.187499175494373
KX1SONGBADBUNNY-DEC2725__KXMEASLES-2531,,0.0,-0.6547614829770912,2.8536986827021287
