epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_ladder_shrink,val_ladder_alpha,val_ladder_vs_shrink,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,val_mece_shrink,val_mece_alpha,val_mece_vs_shrink,seconds
0,0.008960,0.008911,1.005431,0.006589,0.006430,1.024626,0.045877,0.020326,0.002186,0.002004,1.090714,426061,0.002002,0.995409,1.091739,0.008934,0.008251,1.082763,64717,0.007719,0.869975,1.157493,110.5
1,0.009207,0.008911,1.033220,0.006792,0.006430,1.056237,0.045069,0.020373,0.002934,0.002004,1.464243,426061,0.002002,0.995409,1.465619,0.009237,0.008251,1.119494,64717,0.007719,0.869975,1.196759,105.6
2,0.009495,0.008911,1.065567,0.007095,0.006430,1.103264,0.044394,0.020683,0.004240,0.002004,2.115884,426061,0.002002,0.995409,2.117872,0.009055,0.008251,1.097421,64717,0.007719,0.869975,1.173162,113.4
3,0.009737,0.008911,1.092716,0.007209,0.006430,1.121056,0.043951,0.020738,0.004803,0.002004,2.396635,426061,0.002002,0.995409,2.398886,0.009102,0.008251,1.103072,64717,0.007719,0.869975,1.179204,111.9
4,0.009861,0.008911,1.106614,0.007252,0.006430,1.127758,0.043730,0.020780,0.005054,0.002004,2.521841,426061,0.002002,0.995409,2.524210,0.008884,0.008251,1.076674,64717,0.007719,0.869975,1.150983,111.7
5,0.009760,0.008911,1.095226,0.007024,0.006430,1.092218,0.043401,0.020459,0.004221,0.002004,2.106267,426061,0.002002,0.995409,2.108245,0.010379,0.008251,1.257829,64717,0.007719,0.869975,1.344642,117.9
6,0.009578,0.008911,1.074847,0.007018,0.006430,1.091389,0.043056,0.020534,0.004185,0.002004,2.088564,426061,0.002002,0.995409,2.090526,0.011926,0.008251,1.445321,64717,0.007719,0.869975,1.545074,118.1
7,0.009547,0.008911,1.071347,0.006988,0.006430,1.086689,0.042765,0.020475,0.004055,0.002004,2.023670,426061,0.002002,0.995409,2.025571,0.011990,0.008251,1.453092,64717,0.007719,0.869975,1.553381,115.4
8,0.009511,0.008911,1.067265,0.006966,0.006430,1.083213,0.042508,0.020385,0.003952,0.002004,1.972207,426061,0.002002,0.995409,1.974060,0.013247,0.008251,1.605405,64717,0.007719,0.869975,1.716207,118.0
9,0.009458,0.008911,1.061368,0.006964,0.006430,1.082965,0.042277,0.020461,0.003980,0.002004,1.986251,426061,0.002002,0.995409,1.988117,0.014252,0.008251,1.727272,64717,0.007719,0.869975,1.846484,112.6
10,0.009499,0.008911,1.065946,0.007057,0.006430,1.097427,0.041996,0.020723,0.004303,0.002004,2.147314,426061,0.002002,0.995409,2.149331,0.016401,0.008251,1.987694,64717,0.007719,0.869975,2.124881,113.2
11,0.009501,0.008911,1.066235,0.007032,0.006430,1.093593,0.041678,0.020594,0.004123,0.002004,2.057608,426061,0.002002,0.995409,2.059541,0.016253,0.008251,1.969758,64717,0.007719,0.869975,2.105706,116.3
12,0.009477,0.008911,1.063543,0.007009,0.006430,1.089922,0.041405,0.020549,0.003976,0.002004,1.983995,426061,0.002002,0.995409,1.985859,0.015631,0.008251,1.894401,64717,0.007719,0.869975,2.025148,117.7
13,0.009427,0.008911,1.057857,0.007005,0.006430,1.089315,0.041055,0.020609,0.003976,0.002004,1.983936,426061,0.002002,0.995409,1.985800,0.014639,0.008251,1.774177,64717,0.007719,0.869975,1.896627,122.3
