epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,seconds
0,0.009333,0.009328,1.000589,0.007180,0.007172,1.001052,0.022131,0.015872,nan,nan,nan,0,0.008445,0.008251,1.023474,64717,98.2
1,0.009337,0.009328,1.000965,0.007189,0.007172,1.002353,0.021610,0.017715,nan,nan,nan,0,0.010157,0.008251,1.230998,64717,102.1
2,0.009353,0.009328,1.002667,0.007208,0.007172,1.004932,0.021205,0.015504,nan,nan,nan,0,0.008061,0.008251,0.976893,64717,101.9
3,0.009380,0.009328,1.005626,0.007237,0.007172,1.008993,0.020925,0.015902,nan,nan,nan,0,0.008425,0.008251,1.021090,64717,112.7
4,0.009398,0.009328,1.007529,0.007276,0.007172,1.014495,0.020471,0.014990,nan,nan,nan,0,0.007517,0.008251,0.910984,64717,113.1
5,0.009423,0.009328,1.010173,0.007312,0.007172,1.019563,0.020064,0.014836,nan,nan,nan,0,0.007344,0.008251,0.890064,64717,108.8
6,0.009454,0.009328,1.013551,0.007374,0.007172,1.028085,0.019757,0.014485,nan,nan,nan,0,0.006948,0.008251,0.842063,64717,98.3
7,0.009496,0.009328,1.018096,0.007399,0.007172,1.031646,0.019494,0.014466,nan,nan,nan,0,0.006898,0.008251,0.836038,64717,101.5
8,0.009511,0.009328,1.019700,0.007395,0.007172,1.031043,0.019451,0.015591,nan,nan,nan,0,0.007957,0.008251,0.964402,64717,100.9
9,0.009485,0.009328,1.016899,0.007378,0.007172,1.028713,0.019166,0.014356,nan,nan,nan,0,0.006797,0.008251,0.823735,64717,104.2
10,0.009460,0.009328,1.014135,0.007335,0.007172,1.022771,0.019149,0.014943,nan,nan,nan,0,0.007396,0.008251,0.896388,64717,98.8
11,0.009426,0.009328,1.010564,0.007307,0.007172,1.018741,0.018915,0.014045,nan,nan,nan,0,0.006568,0.008251,0.795960,64717,101.3
12,0.009401,0.009328,1.007864,0.007277,0.007172,1.014681,0.019134,0.014112,nan,nan,nan,0,0.006655,0.008251,0.806517,64717,103.3
13,0.009376,0.009328,1.005140,0.007259,0.007172,1.012123,0.018728,0.014284,nan,nan,nan,0,0.006827,0.008251,0.827406,64717,101.5
14,0.009366,0.009328,1.004145,0.007254,0.007172,1.011443,0.018630,0.014420,nan,nan,nan,0,0.006962,0.008251,0.843735,64717,105.5
15,0.009366,0.009328,1.004071,0.007247,0.007172,1.010508,0.018621,0.014506,nan,nan,nan,0,0.007056,0.008251,0.855118,64717,104.5
16,0.009361,0.009328,1.003543,0.007232,0.007172,1.008326,0.018600,0.014068,nan,nan,nan,0,0.006655,0.008251,0.806537,64717,95.9
