epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_ladder_shrink,val_ladder_alpha,val_ladder_vs_shrink,val_ladder_moved,val_ladder_moved_persist,val_ladder_moved_ratio,val_ladder_moved_n,val_ladder_moved_shrink,val_ladder_moved_alpha,val_ladder_moved_vs_shrink,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,val_mece_shrink,val_mece_alpha,val_mece_vs_shrink,seconds
0,0.008922,0.008911,1.001162,0.006446,0.006430,1.002378,0.021564,0.014824,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.008146,0.008251,0.987283,64717,0.007719,0.869975,1.055423,94.7
1,0.008996,0.008911,1.009530,0.006511,0.006430,1.012482,0.021397,0.014919,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.008175,0.008251,0.990797,64717,0.007719,0.869975,1.059180,93.8
2,0.009118,0.008911,1.023188,0.006558,0.006430,1.019773,0.021305,0.014763,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007985,0.008251,0.967721,64717,0.007719,0.869975,1.034510,97.8
3,0.009142,0.008911,1.025954,0.006540,0.006430,1.016981,0.021228,0.014661,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007904,0.008251,0.957862,64717,0.007719,0.869975,1.023971,93.0
4,0.009097,0.008911,1.020843,0.006539,0.006430,1.016911,0.021105,0.014749,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007983,0.008251,0.967500,64717,0.007719,0.869975,1.034275,102.4
5,0.009073,0.008911,1.018178,0.006530,0.006430,1.015483,0.021047,0.014624,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007877,0.008251,0.954632,64717,0.007719,0.869975,1.020519,97.4
6,0.009070,0.008911,1.017859,0.006544,0.006430,1.017573,0.020979,0.014719,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007955,0.008251,0.964157,64717,0.007719,0.869975,1.030701,92.6
7,0.009082,0.008911,1.019223,0.006550,0.006430,1.018660,0.020895,0.014677,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007912,0.008251,0.958837,64717,0.007719,0.869975,1.025014,90.3
8,0.009075,0.008911,1.018424,0.006550,0.006430,1.018512,0.020862,0.014716,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007946,0.008251,0.962954,64717,0.007719,0.869975,1.029415,93.7
9,0.009067,0.008911,1.017497,0.006543,0.006430,1.017561,0.020779,0.014629,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.007869,0.008251,0.953624,64717,0.007719,0.869975,1.019441,95.8
