epoch,train_node,train_node_persist,train_node_ratio,val_node,val_node_persist,val_node_ratio,train_total,val_total,val_ladder,val_ladder_persist,val_ladder_ratio,val_ladder_n,val_ladder_shrink,val_ladder_alpha,val_ladder_vs_shrink,val_ladder_moved,val_ladder_moved_persist,val_ladder_moved_ratio,val_ladder_moved_n,val_ladder_moved_shrink,val_ladder_moved_alpha,val_ladder_moved_vs_shrink,val_mece,val_mece_persist,val_mece_ratio,val_mece_n,val_mece_shrink,val_mece_alpha,val_mece_vs_shrink,seconds
0,0.008917,0.008911,1.000682,0.006437,0.006430,1.000975,0.021802,0.015142,0.002010,0.002004,1.002917,426061,0.002002,0.995409,1.003859,0.013172,0.013320,0.988905,64099,0.013133,0.931464,1.002961,0.008454,0.008251,1.024602,64717,0.007719,0.869975,1.095317,103.0
1,0.008923,0.008911,1.001327,0.006460,0.006430,1.004638,0.021296,0.016985,0.002038,0.002004,1.016769,426061,0.002002,0.995409,1.017724,0.013120,0.013320,0.984987,64099,0.013133,0.931464,0.998988,0.010157,0.008251,1.231009,64717,0.007719,0.869975,1.315971,116.3
2,0.008950,0.008911,1.004375,0.006468,0.006430,1.005762,0.020886,0.014687,0.002060,0.002004,1.028183,426061,0.002002,0.995409,1.029149,0.013073,0.013320,0.981459,64099,0.013133,0.931464,0.995409,0.007995,0.008251,0.968946,64717,0.007719,0.869975,1.035821,120.1
3,0.008964,0.008911,1.005965,0.006498,0.006430,1.010474,0.020604,0.015020,0.002088,0.002004,1.041820,426061,0.002002,0.995409,1.042799,0.013051,0.013320,0.979834,64099,0.013133,0.931464,0.993761,0.008300,0.008251,1.005969,64717,0.007719,0.869975,1.075399,108.7
4,0.008994,0.008911,1.009267,0.006524,0.006430,1.014572,0.020122,0.014161,0.002116,0.002004,1.055923,426061,0.002002,0.995409,1.056915,0.013044,0.013320,0.979251,64099,0.013133,0.931464,0.993170,0.007458,0.008251,0.903846,64717,0.007719,0.869975,0.966228,113.5
5,0.009005,0.008911,1.010535,0.006550,0.006430,1.018590,0.019718,0.014028,0.002130,0.002004,1.062826,426061,0.002002,0.995409,1.063825,0.013048,0.013320,0.979589,64099,0.013133,0.931464,0.993512,0.007316,0.008251,0.886674,64717,0.007719,0.869975,0.947870,108.3
6,0.009033,0.008911,1.013667,0.006599,0.006430,1.026168,0.019401,0.013704,0.002153,0.002004,1.074241,426061,0.002002,0.995409,1.075250,0.013048,0.013320,0.979578,64099,0.013133,0.931464,0.993501,0.006956,0.008251,0.842998,64717,0.007719,0.869975,0.901180,107.9
7,0.009068,0.008911,1.017618,0.006630,0.006430,1.031089,0.019135,0.013672,0.002160,0.002004,1.077845,426061,0.002002,0.995409,1.078858,0.013050,0.013320,0.979721,64099,0.013133,0.931464,0.993646,0.006890,0.008251,0.835057,64717,0.007719,0.869975,0.892691,112.1
8,0.009084,0.008911,1.019388,0.006639,0.006430,1.032440,0.019119,0.014499,0.002155,0.002004,1.075284,426061,0.002002,0.995409,1.076294,0.013061,0.013320,0.980533,64099,0.013133,0.931464,0.994469,0.007662,0.008251,0.928542,64717,0.007719,0.869975,0.992628,107.7
9,0.009066,0.008911,1.017341,0.006622,0.006430,1.029833,0.018842,0.013652,0.002122,0.002004,1.058900,426061,0.002002,0.995409,1.059895,0.013073,0.013320,0.981491,64099,0.013133,0.931464,0.995441,0.006856,0.008251,0.830851,64717,0.007719,0.869975,0.888194,102.2
